,titles,author,pages,genres,pub_date,publisher,google_ratings,total_google_ratings,maturity,price,ebook,index,id,book_id,books_count,original_publication_year,original_title,short_title,language_code,goodbook_rating,ratings_count,work_ratings_count,work_text_reviews_count,main_tag,secondary_tag,minor_tag
0," Angels (Walsh Family, #3)",Marian Keyes,448,Fiction,2009-03-17,Harper Collins,4.0,9,NOT_MATURE,10.99,True,3997,3998,82747,67,2002.0,Angels," Angels (Walsh Family, #3)",en-US,3.73,25680,27576,680,fiction,romance,marian-keyes
1,#GIRLBOSS,Sophia Amoruso,256,Business & Economics,2014-05-06,Penguin,3.5,2595,NOT_MATURE,11.99,True,2854,2855,18667945,35,2014.0,,#GIRLBOSS,eng,3.71,40090,43741,2980,non-fiction,memoir,feminism
2,'Salem's Lot,Stephen King,560,Fiction,2008-05-06,Anchor,4.0,153,NOT_MATURE,8.99,True,348,349,11590,211,1975.0,Salem's Lot,'Salem's Lot,en-GB,3.99,228680,246360,6167,vampires,horror,thriller
3,'Salem's Lot,Stephen King,560,Fiction,2008-05-06,Anchor,4.0,153,NOT_MATURE,8.99,True,1291,1292,5413,22,2005.0,'Salem's Lot The Illustrated Edition,'Salem's Lot,eng,4.25,72797,74725,482,horror,stephen-king,fiction
4,'Salem's Lot,Stephen King,560,Fiction,2008-05-06,Anchor,4.0,153,NOT_MATURE,8.99,True,348,349,11590,211,1975.0,Salem's Lot,'Salem's Lot,en-GB,3.99,228680,246360,6167,vampires,horror,thriller
5,'Salem's Lot,Stephen King,560,Fiction,2008-05-06,Anchor,4.0,153,NOT_MATURE,8.99,True,1291,1292,5413,22,2005.0,'Salem's Lot The Illustrated Edition,'Salem's Lot,eng,4.25,72797,74725,482,horror,stephen-king,fiction
6,"'Tis (Frank McCourt, #2)",Frank McCourt,368,Biography & Autobiography,1999-09-22,Simon and Schuster,3.5,65,NOT_MATURE,12.99,True,2251,2252,4912,85,1999.0,'Tis: A Memoir,"'Tis (Frank McCourt, #2)",eng,3.66,40726,46748,1919,non-fiction,memoir,biography
7,"1,000 Places to See Before You Die",Patricia Schultz,1200,Travel,2011,Workman Publishing,5.0,1,NOT_MATURE,,False,2617,2618,11525,28,2003.0,"1,000 Places to See Before You Die","1,000 Places to See Before You Die",,3.83,33025,33805,450,travel,non-fiction,reference
8,"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",Dan   Harris,256,Self-Help,2014-03-11,Harper Collins,4.0,3307,NOT_MATURE,11.99,True,2751,2752,18505796,29,2014.0,"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works","10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",eng,3.93,33969,39748,3485,non-fiction,self-help,psychology
9,"100 Bullets, Vol. 1: First Shot, Last Call",Brian Azzarello,416,Crime,2012-04-01,Titan Publishing Company,,,NOT_MATURE,,False,8096,8097,94510,13,1999.0,"100 Bullets, Vol. 1: First Shot, Last Call (100 bullets, #1)","100 Bullets, Vol. 1: First Shot, Last Call",eng,3.82,13026,13117,359,comics,graphic-novels,graphic-novel
10,100 Love Sonnets,Pablo Neruda,213,Poetry,2007,"Exile Editions, Ltd.",4.5,11,NOT_MATURE,,False,7439,7440,11339,70,1959.0,Cien sonetos de amor,100 Love Sonnets,eng,4.4,11425,12429,473,classics,romance,poesia
11,100 Selected Poems,E.E. Cummings,128,Poetry,2014-09-09,"Grove/Atlantic, Inc.",4.0,16,NOT_MATURE,15.0,True,4300,4301,76889,8,1954.0,100 Selected Poems by e. e. Cummings,100 Selected Poems,en-US,4.32,22346,22638,387,poetry,classics,poems
12,"10th Anniversary (Women's Murder Club, #10)",James Patterson,448,Fiction,2011-05-02,"Little, Brown",3.5,48,NOT_MATURE,9.99,True,3800,3801,9436746,45,2011.0,10th Anniversary,"10th Anniversary (Women's Murder Club, #10)",eng,4.05,27052,32557,1691,james-patterson,mystery,women-s-murder-club
13,"11 Birthdays (Willow Falls, #1)",Wendy Mass,272,Juvenile Fiction,2011-07-01,Scholastic Inc.,4.5,58,NOT_MATURE,3.99,True,4974,4975,4835838,18,2009.0,11 Birthdays,"11 Birthdays (Willow Falls, #1)",eng,4.18,22339,23427,2132,fantasy,middle-grade,realistic-fiction
14,11/22/1963,Stephen King,1120,Fiction,2016-01-26,Simon and Schuster,,,NOT_MATURE,,False,294,295,10644930,145,2011.0,11/22/1963,11/22/1963,eng,4.29,258464,303057,30656,fiction,historical-fiction,stephen-king
15,"11th Hour (Women's Murder Club, #11)",James Patterson,416,Fiction,2012-05-07,"Little, Brown",3.5,83,NOT_MATURE,9.99,True,4047,4048,11872242,47,2012.0,11th hour,"11th Hour (Women's Murder Club, #11)",eng,4.02,22697,29552,1792,james-patterson,mystery,fiction
16,"12th of Never (Women's Murder Club, #12)",James Patterson,512,Fiction,2013-04-29,"Little, Brown",3.5,23,NOT_MATURE,9.99,True,4376,4377,15734464,41,2013.0,12th of Never,"12th of Never (Women's Murder Club, #12)",en-US,3.99,19998,26821,1941,james-patterson,mystery,fiction
17,"13 Gifts (Willow Falls, #3)",Wendy Mass,341,Juvenile Fiction,2011,Scholastic Inc.,4.5,13,NOT_MATURE,,False,9885,9886,10473214,11,2011.0,,"13 Gifts (Willow Falls, #3)",eng,4.25,10160,11129,804,fantasy,realistic-fiction,wendy-mass
18,13 Hours: The Inside Account of What Really Happened In Benghazi,Mitchell Zuckoff,352,History,2014-09-09,Twelve,4.0,14,NOT_MATURE,11.99,True,9182,9183,22608582,34,2014.0,13 Hours: The Inside Account of What Really Happened In Benghazi,13 Hours: The Inside Account of What Really Happened In Benghazi,eng,4.26,8692,12435,1180,non-fiction,history,military
19,"13 Little Blue Envelopes (Little Blue Envelope, #1)",Maureen Johnson,100,Juvenile Fiction,2011-04-12,Harper Collins,3.5,137,NOT_MATURE,,False,1668,1669,17020,35,2005.0,13 Little Blue Envelopes,"13 Little Blue Envelopes (Little Blue Envelope, #1)",eng,3.65,66950,70828,4329,young-adult,contemporary,romance
20,14,Peter Clines,,Fiction,2012-06-05,Permuted Press,3.5,44,NOT_MATURE,7.99,True,4539,4540,15062217,24,2012.0,14,14,eng,3.92,20011,21210,2777,horror,science-fiction,sci-fi
21,1421: The Year China Discovered America,Gavin Menzies,656,History,2012-08-31,Random House,3.0,40,NOT_MATURE,,False,8381,8382,4813,40,2002.0,1421: The Year China Discovered America,1421: The Year China Discovered America,eng,3.58,10200,10971,906,history,non-fiction,china
22,1491: New Revelations of the Americas Before Columbus,Charles C. Mann,541,History,2006,Vintage,4.0,3201,NOT_MATURE,,False,2252,2253,39020,37,2005.0,1491: New Revelations of the Americas Before Columbus,1491: New Revelations of the Americas Before Columbus,eng,4.01,41815,43649,2811,history,non-fiction,anthropology
23,1493: Uncovering the New World Columbus Created,Charles C. Mann,690,History,2012,Vintage,4.0,30,NOT_MATURE,,False,8120,8121,9862761,30,2011.0,1493: Uncovering the New World Columbus Created,1493: Uncovering the New World Columbus Created,en-GB,4.05,10963,11959,1125,history,non-fiction,science
24,"14th Deadly Sin (Women’s Murder Club, #14)",James Patterson,384,Fiction,2015-05-04,"Little, Brown",3.5,18,NOT_MATURE,9.99,True,5163,5164,23346918,42,2015.0,14th Deadly Sin,"14th Deadly Sin (Women’s Murder Club, #14)",eng,3.99,12823,21946,1709,james-patterson,mystery,fiction
25,15th Affair (Women's Murder Club #15),James Patterson,384,Fiction,2016-05-02,"Little, Brown",3.5,381,NOT_MATURE,9.99,True,6693,6694,25613617,37,2016.0,15th Affair,15th Affair (Women's Murder Club #15),eng,4.04,11112,17768,1502,james-patterson,mystery,fiction
26,"16 Lighthouse Road (Cedar Cove, #1)",Debbie Macomber,384,Fiction,2013-07-01,Harlequin,3.0,31,NOT_MATURE,4.99,True,6942,6943,46012,58,2001.0,16 Lighthouse Road,"16 Lighthouse Road (Cedar Cove, #1)",eng,4.08,9938,17930,1100,,,
27,1776,David McCullough,386,Biography & Autobiography,2006-07-04,Simon and Schuster,4.0,3828,NOT_MATURE,,False,686,687,1067,38,2005.0,1776,1776,eng,4.06,130293,135378,5963,history,non-fiction,american-history
28,1984,George Orwell,,Juvenile Fiction,2016-07-29,ENRICH CULTURE GROUP LIMITED ,4.0,1787,NOT_MATURE,17.78,True,12,13,5470,995,1949.0,Nineteen Eighty-Four,1984,eng,4.14,1956832,2053394,45518,fiction,science-fiction,sci-fi
29,1Q84,Haruki Murakami,944,Fiction,2011-10-25,Vintage,3.5,767,NOT_MATURE,12.99,True,648,649,10357575,107,2009.0,????????? [Ichi-Ky?-Hachi-Yon],1Q84,eng,3.89,125195,138691,13779,fiction,fantasy,japan
30,"1Q84 #1-2 (1Q84, #1-2)",Haruki Murakami,944,Fiction,2011-10-25,Bond Street Books,3.5,33,NOT_MATURE,,False,8055,8056,12254379,59,2009.0,1Q84 Books 1-2,"1Q84 #1-2 (1Q84, #1-2)",eng,4.07,8342,12788,1130,fiction,fantasy,japan
31,"1Q84 BOOK 1 (1Q84, #1)",Haruki Murakami,944,Fiction,2011-10-25,Bond Street Books,3.5,33,NOT_MATURE,,False,2519,2520,6443834,76,2009.0,1Q84 Book 1 [Ichi-ky?-hachi-yon],"1Q84 BOOK 1 (1Q84, #1)",jpn,3.96,32323,36769,1280,fiction,fantasy,japan
32,"1Q84 BOOK 2 (1Q84, #2)",Haruki Murakami,944,Fiction,2011-10-25,Bond Street Books,3.5,33,NOT_MATURE,,False,8222,8223,6449422,67,2009.0,1Q84 Book 2 [Ichi-ky?-hachi-yon],"1Q84 BOOK 2 (1Q84, #2)",jpn,4.04,9668,12598,680,japan,haruki-murakami,murakami
33,"1Q84 BOOK 3 (1Q84, #3)",Haruki Murakami,364,Japan,2011,Random House,,,NOT_MATURE,,False,6119,6120,7717482,112,2010.0,1Q84 Book 3 [Ichi-ky?-hachi-yon],"1Q84 BOOK 3 (1Q84, #3)",jpn,3.86,10317,17189,1332,fiction,japan,fantasy
34,"1st to Die (Women's Murder Club, #1)",James Patterson,432,Fiction,2001-03-05,"Little, Brown",3.5,90,NOT_MATURE,7.99,True,335,336,13137,107,2001.0,1st To Die,"1st to Die (Women's Murder Club, #1)",en-US,4.05,233984,242428,5039,mystery,james-patterson,fiction
35,2 States: The Story of My Marriage,Chetan Bhagat,269,Indic fiction (English),2009,Sandesh S,4.0,58,NOT_MATURE,,False,1124,1125,6969361,21,2009.0,Two States,2 States: The Story of My Marriage,eng,3.42,67866,69282,2421,romance,indian-authors,chetan-bhagat
36,"2001: A Space Odyssey (Space Odyssey, #1)",Arthur C. Clarke,297,Fiction,2012-12-10,RosettaBooks,4.0,86,NOT_MATURE,,False,502,503,70535,221,1968.0,2001: A Space Odyssey,"2001: A Space Odyssey (Space Odyssey, #1)",eng,4.12,170841,180661,3722,science-fiction,sci-fi,fiction
37,"2010: Odyssey Two (Space Odyssey, #2)",Arthur C. Clarke,291,Fiction,2012-11-30,RosettaBooks,4.0,28,NOT_MATURE,,False,2535,2536,70539,104,1982.0,2010: Odyssey Two,"2010: Odyssey Two (Space Odyssey, #2)",eng,3.89,36907,40756,812,science-fiction,sci-fi,fiction
38,"204 Rosewood Lane (Cedar Cove, #2)",Debbie Macomber,368,Fiction,2013-07-01,Harlequin,3.5,17,NOT_MATURE,5.74,True,7472,7473,366346,57,2002.0,204 Rosewood Lane,"204 Rosewood Lane (Cedar Cove, #2)",eng,4.15,14454,15947,559,debbie-macomber,romance,fiction
39,"206 Bones (Temperance Brennan, #12)",Kathy Reichs,320,Fiction,2016-10-11,Simon and Schuster,3.5,43,NOT_MATURE,,False,7064,7065,5957702,54,2009.0,206 Bones,"206 Bones (Temperance Brennan, #12)",en-US,3.92,17160,19519,1126,mystery,kathy-reichs,crime
40,"2061: Odyssey Three (Space Odyssey, #3)",Arthur C. Clarke,282,Fiction,2012-11-30,RosettaBooks,3.0,21,NOT_MATURE,,False,5469,5470,35816,76,1987.0,2061: Odyssey Three,"2061: Odyssey Three (Space Odyssey, #3)",eng,3.52,17843,20272,482,science-fiction,sci-fi,fiction
41,20th Century Ghosts,Joe Hill,100,Fiction,2009-02-03,Harper Collins,3.5,68,NOT_MATURE,0.99,True,4826,4827,373915,63,2005.0,20th Century Ghosts,20th Century Ghosts,en-US,3.95,21987,24783,1803,horror,short-stories,fiction
42,2312,Kim Stanley Robinson,576,Fiction,2012-05-22,Orbit,3.5,5,NOT_MATURE,8.99,True,8168,8169,11830394,24,2012.0,2312,2312,eng,3.43,10042,12097,1828,science-fiction,fiction,sci-fi
43,2666,Roberto Bolaño,912,Fiction,2013-07-09,"Farrar, Straus and Giroux",3.0,13,NOT_MATURE,13.99,True,4508,4509,63032,84,2004.0,2666,2666,spa,4.2,15000,22318,2930,fiction,literature,latin-america
44,2BR02B,Kurt Vonnegut Jr.,32,,2017-04-20,Createspace Independent Publishing Platform,,,NOT_MATURE,,False,7920,7921,5048174,82,1962.0,2BR02B,2BR02B,eng,3.93,7442,12567,806,science-fiction,fiction,dystopia
45,"2nd Chance (Women's Murder Club, #2)",James Patterson,400,Fiction,2002-03-04,"Little, Brown",3.5,46,NOT_MATURE,7.99,True,1378,1379,13136,103,2002.0,2nd Chance,"2nd Chance (Women's Murder Club, #2)",eng,4.01,68834,75300,2128,james-patterson,mystery,fiction
46,"30 Days of Night, Vol. 1",Steve Niles,92,Comics & Graphic Novels,2012,Idea & Design Works Llc,,,NOT_MATURE,,False,6195,6196,831829,17,2001.0,30 Days of Night,"30 Days of Night, Vol. 1",,3.81,15532,15895,467,graphic-novels,comics,horror
47,300,Frank Miller,88,Comics & Graphic Novels,2008-05-13,Dark Horse Comics,,,NOT_MATURE,13.99,True,2425,2426,59952,33,1998.0,300,300,en-US,3.93,38323,38782,712,graphic-novels,cómics,comics
48,"3001: The Final Odyssey (Space Odyssey, #4)",Arthur C. Clarke,274,Fiction,2012-11-30,RosettaBooks,3.0,19,NOT_MATURE,,False,6508,6509,63432,65,1997.0,3001: The Final Odyssey,"3001: The Final Odyssey (Space Odyssey, #4)",,3.49,14392,16614,561,science-fiction,sci-fi,fiction
49,"3rd Degree (Women's Murder Club, #3)",James Patterson,352,Fiction,2004-03-01,"Little, Brown",3.5,41,NOT_MATURE,7.99,True,1857,1858,13132,76,2004.0,3rd Degree,"3rd Degree (Women's Murder Club, #3)",,4.0,55599,60574,1718,james-patterson,mystery,fiction
